NAME,B01001_001E,B06011_001E,state
Alabama,4876250,26231,01
Alaska,737068,34018,02
Arizona,7050299,30216,04
Arkansas,2999370,25758,05
California,39283497,31960,06
Colorado,5610349,35887,08
Delaware,957248,33628,10
District of Columbia,692683,49542,11
Connecticut,3575074,37865,09
Florida,20901636,27936,12
Georgia,10403847,29958,13
Idaho,1717750,27243,16
Hawaii,1422094,35515,15
Illinois,12770631,32495,17
Indiana,6665703,30005,18
Iowa,3139508,31707,19
Kansas,2910652,31017,20
Kentucky,4449052,26653,21
Louisiana,4664362,26295,22
Maine,1335492,29808,23
Maryland,6018848,40341,24
Massachusetts,6850553,37886,25
Michigan,9965265,29672,26
Minnesota,5563378,36076,27
Mississippi,2984418,24509,28
Missouri,6104910,29649,29
Montana,1050649,28409,30
Nebraska,1914571,31933,31
Nevada,2972382,31206,32
New Hampshire,1348124,35807,33
New Jersey,8878503,38238,34
New Mexico,2092454,25881,35
New York,19572319,33562,36
North Carolina,10264876,28836,37
North Dakota,756717,35499,38
Ohio,11655397,30171,39
Oklahoma,3932870,27637,40
Oregon,4129803,30710,41
Pennsylvania,12791530,31099,42
Rhode Island,1057231,32256,44
South Carolina,5020806,27366,45
South Dakota,870638,31033,46
Tennessee,6709356,27607,47
Texas,28260856,30596,48
Vermont,624313,31492,50
Utah,3096848,30801,49
Virginia,8454463,35421,51
Washington,7404107,35989,53
West Virginia,1817305,25320,54
Wisconsin,5790716,32009,55
Wyoming,581024,31974,56
Puerto Rico,3318447,NA,72
